ticker,date,mean_sentiment,sentiment_volatility,headline_volume,negative_spike_flag,mean_positive,mean_negative,mean_neutral,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,SMA_5,SMA_10,SMA_20,close,volume,volume_delta,overnight_gap,earnings_proximity,price_direction
AAPL,23-04-2026,0.012288446,0.026966668,2,0,0.049656743,0.037368298,0.912974983,,0,0,0,,,,,,,,,273.4299927,33399600,,,0,-1
AAPL,24-04-2026,0,0,0,0,0,0,0,,-0.18905944,-0.151247552,-0.037811888,,,,,,,,,271.0599976,38157100,0.142441826,-0.00245029,0,-1
AAPL,27-04-2026,0.406884371,0.701924824,2,0,0.675700843,0.268816472,0.055482622,,-0.610243058,-0.457944936,-0.152298122,,,,,,,,,267.6099854,41466800,0.086738772,-0.018335429,0,1
AAPL,28-04-2026,-0.487678472,0,1,1,0.032561,0.520239472,0.447199523,,-0.685981952,-0.426947064,-0.259034888,,,,,,,,,270.7099915,39978600,-0.035888952,0.017675017,0,-1
BTC-USD,25-04-2026,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,77612.01563,16702933134,,,0,1
BTC-USD,26-04-2026,0,0,0,0,0,0,0,,83.40357906,66.72286325,16.68071581,,,,,,,,,78657.53906,21482934750,0.286177378,1.42E-05,0,-1
BTC-USD,27-04-2026,0,0,0,0,0,0,0,,44.8188958,22.51054399,22.30835181,,,,,,,,,77366.625,38135631927,0.775159324,4.42E-05,0,-1
BTC-USD,28-04-2026,-0.098780069,0.440126314,10,0,0.190242888,0.289022957,0.520734141,,-66.96671953,-71.42005707,4.453337541,,,,,,,,,76350.67188,32056900880,-0.159397675,1.93E-05,0,0
MSFT,23-04-2026,0.493410308,0,1,0,0.511286318,0.01787601,0.470837712,,0,0,0,,,,,,,,,415.75,38308000,,,0,1
MSFT,24-04-2026,0.040149484,0,1,0,0.063760087,0.023610603,0.912629366,,0.707577958,0.566062366,0.141515592,,,,,,,,,424.6199951,27457400,-0.283246319,0.002934459,0,0
MSFT,27-04-2026,-0.015004252,0.629937306,5,0,0.21955041,0.234554662,0.545894917,,1.269839976,0.902659508,0.367180469,,,,,,,,,424.8200073,30867300,0.124188743,-0.005275282,0,1
MSFT,28-04-2026,0.197165574,0.487300823,6,0,0.362448966,0.165283391,0.472267637,,2.04927727,1.345677441,0.703599829,,,,,,,,,429.25,30373200,-0.016007231,-0.000588485,0,-1
NVDA,23-04-2026,-0.002189565,0,1,0,0.056042496,0.058232062,0.885725498,,0,0,0,,,,,,,,,199.6399994,113561800,,,0,1
NVDA,24-04-2026,-0.031799069,0.592695713,8,0,0.280445066,0.312244135,0.407310815,,0.688433438,0.55074675,0.137686688,,,,,,,,,208.2700043,214134400,0.885619988,0.001602922,0,1
NVDA,27-04-2026,0.28187329,0.345232195,7,0,0.303246983,0.021373693,0.675379334,,1.885257823,1.398056908,0.487200915,,,,,,,,,216.6100006,187172400,-0.125911577,0.006625964,0,-1
NVDA,28-04-2026,-0.033572966,0.60628973,9,0,0.263208488,0.296781454,0.440010059,,2.527040177,1.63187141,0.895168767,,,,,,,,,213.1699982,179828800,-0.039234417,-0.032870113,0,-1
TSLA,23-04-2026,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,373.7200012,93969500,,,0,1
TSLA,24-04-2026,0,0,0,0,0,0,0,,0.205810895,0.164648716,0.041162179,,,,,,,,,376.2999878,62893300,-0.330705176,-0.000588679,0,1
TSLA,27-04-2026,0.434360294,0.639763163,7,0,0.583371659,0.149011365,0.267616966,,0.553775197,0.410090415,0.143684783,,,,,,,,,378.6700134,66735800,0.061095538,-0.01118786,0,-1
TSLA,28-04-2026,-0.932622581,0,1,1,0.009370358,0.941992939,0.048636705,,0.608688015,0.372002586,0.236685429,,,,,,,,,376.019989,50698300,-0.240313295,-0.010536934,0,0
